aymara,spanish
Khuyapaya,"Generoso, Compasivo"
Khuyapayasiri,"Generoso, compasivo"
Khuych'ukiña,Silbar para molestar
Khuysa,"En la parte opuesta al que habla, al frente"
Khuysäxa,Detrás de la pared o de la cumbre
Khuyt'aña,Silbar a cada momento
Khuyuña,"Silbar, silbato, Aventar cereal desgranado"
Khuyuqaña,"Separar del trigo, cebada. Los granzones y la paja gruesa"
Khuyuri,Persona que silba
Khäna,Allí
Kichiña,Pellizcar
Kichjaña,Desmenuzar con los dedos
Kichua,Pulmón
Kiilkka,Carta
Kikipa,"Similitud, igual"
Kikipaña,Comparar
Kikpachaña,Hacer igualar
Killima,Carbón. Adj. Negruzco
Killina,Carbón
Killiñtaña,Caer de rodillas
Killkkaña,Escribir
Killmu,Persona que tiene los dientes desiguales
Killpiña,Hincarse
Killt'añani,Arrodillémonos
Killtasiña,Arrodillarse
Killuptata,Amarillento
Kimsa,Número Tres
Kimsa pataka,"300, Trescientos"
Kimsa tunka,"30, Treinta"
Kimsacharani,Chicote o cinturón
Kimsapataka,Trescientos
Kimsaqailqo tunka,"80, Ochenta"
Kimsaqallqu,Ocho
Kimsatunka,Treinta
Kimsawaranqa,Tres mil
Kimsiri,Ordinal tercero
Kimst'aña,Triplicar
Kinacu,Tesoro
Kinayata,Nublarse
Kinkiya,Mechero o lámpara
Kipikkaña,Descargar
Kipkaki,Lo mismo
Kipkakiña,Tener semejanza o igualdad
Kipu,Abrojo
Kirkt'aña,Hacer bailar a su niño sobre las rodillas
Kirnsa-Kalikku,Ocho
Kiru,Plato
Kiruntaña,Envolver
Kiruntata,Envuelto
Kiswara,Una variedad de árbol andino
Kitthapiña,"Mezclar, desordenar. Iniciar un problema"
Kiusa,"Cobarde, Afeminado"
Kiwlla,Un pájaro mayor que perdiz
Kiwu,Colmillo
Kjananchaña,Esclarecer
Kjartaña,Empezar
Kjgariña,Degollar
Kjharuru,Mañana
Kjhatiri,Comerciante
Kjhiparata,Atrasado
Kjhuyapasayiri,Compasivo
Kjiparu,Atrás
Kjuchi,Cerdo
Kkacharaña,Acondicionar
Kkachu,Yerba
Kkaira,Rana
Kkakkaña,Refregar
Kkala,Desnudo. Piedra
Kkalltaña,Comenzar
Kkamiri,Rico
Kkamirttaña,Enriquecer
Kkapiña,Sobar
Kkapuña,Hilar
Kkarhua,Llama-animal
Kkasa,Desportillado
Kkatatina,Arrastrar
Kkilkkata,Escrito
Kkintu,Romaza
Kkipaña,Tramar
Kkiru-lahua,Madera
Kkullana,Medicina
Kkullaña,Curar
Kkullas,Menstruar
Kkullasiri,Curador
Kkulliri,Médico
Kkumachaña,Asear
Kkumaraña,Sanarse
Kkunchu,Turbio
Kkunkkuri,Rodilla
Kkuntaña,Sentarse
Kkunuta,Sentado
Kkura,Hierba
Kkuraña,Desyerbar
Kkurpachata,Alojado
Kkuruta,Testículo
Kkuta,"Laguna, Lago"
Kkuya,Mina
Kkuyiri,Minero
Kolluchaña,Amontonar
Kolluyana,Asomar
Kolo,Flaco
Konuña,Asiento
Kuchi,Cochino
Kuchichiña,Ensuciar
Kuchkataña,Arrinconar
Kuchu,"Rincón, esquina"
Kuka,Coca Planta medicinal que contiene proteínas y calorías superiores a cualquier otro alimento
Kukani,El que tiene coca
Kukarara,Que está lleno de coca
Kukatari,Servilleta de lana para enfardar coca
Kullaka,"Hermana, compañera, paisana"
Kullana,Excelente
Kullawa,Danza amorosa de hilanderos enamorados
Kulli,Olivo. Color morado.
Kullkki,Dinero
Kullku,Estrecho
Kullkutaya,Paloma silvestre
Kullu,Cerro. Tronco.
Kuma,Limpio
Kumachaña,Limpiar
Kumpnaqaña,"Gatear, caminar de cuatro"
Kumpuna,Gatear
Kumpuyaña,Hacer gatear
Kumpxataña,Subir sobre cuatro extremidades sobre algo o alguien
Kumuntasiña,Encorvarse
Kumuntata,Encorvado
Kumurayana,Humillarse
Kuna,¿Qué?
Kunalayku,¿Por qué?
Kunapacha,¿Cuándo?
Kunasa,¿Qué es?
Kunaymana,"Infinidad, diversidad"
Kunca,Cuello
Kunjama,¿Cómo?
Kunjamatixa,Así es
Kunka,Cuello
Kunkachuyaña,"Dirigir, guiar la manada hacia una dirección"
Kunkani,De buena voz
Kunturi,Cóndor
Kunäpasa,"Sea hoy, sea quien sea, sea lo que sea"
Kunäsa,p.int. ¿Cuándo?
Kupala,"Nombre de un árbol, Copal"
Kupana,Garrote
Kupi,Mano derecha
Kuptaña,Levantarse después de estar acostado
Kurawa,Honda
Kurawaña,"Poner, bardar a los vallados paredes o tapias. Hondear"
Kuri,Oro
Kurji,Colchón de trapos
Kurmi,Arco iris
Kursiya,Diarrea
Kururu,Ombligo
Kusa,Bien. Chicha.
Kusasä,¡Qué bueno!
Kusca,Parejo
Kuscuchnaña,Emparejar
Kusillu,Mono
Kusisita,"Feliz, contento, alegre, regocijado (a)"
Kusisiyaña,Deleitar causar placer en el ánimo
Kusist'aña,"Saltar de alegría, alegrarse"
Kusupi,Escalofrío
Kutaña,Batan
Kuti,Acción de regresar
Kutikipstaña,Amotinarse. Darse la vuelta
Kutiña,"Remover, labrar por segunda vez, Volver, regresar, retornar"
Kutintaña,Volver a reingresar
Kutiqa,Cambio de dinero
Kutiqayaña,"Repeler, rechazar, devolver el cambio"
Kutiqayariña,Hacerse devolver
Kutiqayasiña,"Desquitarse, desfogarse, Hacerse devolver el cambio"
Kutiqtaña,"Rebotar de una pared, regresar casi al entrar, deshacer"
Kutirayaña,Destorcer lo torcido
Kutirpayaña,"Desamarrar, Desdoblar"
Kutirpu,Parcela de tierra que es sembrada nuevamente la papa o algún otro producto
Kutiyaña,"Vomitar, Restituir"
Kutkatasiña,Volverse con insolencia
Kutkatasiri,Replicón (a). Replicador
Kutqataña,"Responder, replicar"
Kutsuyaña,Hacer regresar. Rescatar
Kutt'aña,Regresar o retroceder
Kutt'ayaña,"Devolver al vendedor, Hacer volver"
Kutu,Bolsa membranosa de las aves para recibir la comida
Kutukutu,Hidropesía (creencia tradicional es la neblina nocturna que causa enfermedad en mujeres embarazadas)
Kututu,"Músculo del brazo, bíceps. Conejillo macho"
Kutuyaña,"Vomitar, expeler por la boca sin esfuerzo"
Kutxataña,"Reanudar, contener lo interrumpido, retirar, repetir lo que se había hecho"
Kuuña,Estanque
Kuwaja,Materia que cuaja la leche
Kuwajt'aña,"Coagular, Cuajar solidificar lo líquido"
Kuyapayana,Caridad
Kuyapayiri,Caritativo
Kuykuña,"Caminar con cuidado, despacio y delicadeza"
Kuypa,Nombre de un pueblo
Kuyu,Tela
Kyuyapayaña,Auxilio
Laca-chaka,Dentadura
Lacacchaca,Diente
Laicu,Causa
Laikka,Hechicero
Laikkantaña,Embrujar
Laikkata,Hechizado
Laja,"Despejado, Nombre de pueblo"
Lajra,Lengua
Laka,Boca
Laka ch'aka,Diente
Laka chaca,Diente
Laka qulliri,Dentista
Lakarara,"Hablador, Bocón"
Lakathiya,Orilla de una superficie
Lakaya,Construcción en ruinas
Lakiña,Escoger
Lakinuqaña,Repartir objetos y cosas
Lakirapiña,Repartírselo
Lakiri,"Repartidor, distribuidor"
Lakita,Escogido
Lakiwi,Lugar donde se reparte
Lakiyaña,Hacer repartir
Lakjaña,"Dividir en varias partes, repartir"
Lakku,Gusano
Laksuña,Escoger animales o cosas
Lakt'am,Repartir por un momento
Lamara,Mar
Lampa,Pala
Lampasu,Planta medicinal del altiplano
Lampaya,Árbol de la sierra
Lampsuña,Sacar la tierra con la pala
Lampsuri,Persona que palea la tierra
Lankachaña,"Mojar, humedecer con algo"
Lankaña,Llevar barro o algo en las manos
Lankanuqaña,Poner algo mojado en el suelo
Lankhuchaña,"Engrosar una cosa, hacerla gruesa"
Lankjataña,Colocar barro sobre algo
Lanktaña,Tropezar
Lanktasiña,Tropezarse
Lanti,"Reemplazo, en vez de, en lugar de"
Lantilanti,Planta medicinal
Lantiña,Reemplazar
Laphaqiyaña,Hacer flamear
Laphi,Hoja
Lappa,Piojo
Lapparara,Piojoso
Laq'a,Tierra
Laq'achaña,Mover la tierra
Laq'achiri,Persona que remueve la tierra
Laq'arara,Polvoriento
Laq'suña,Agusanar
Laq'u,Gusano
Laqa,Rápido de prisa
Laqampu,Celeste
Laqatu,"Gusano, larva, oruga"
Laqhaña,Sacar la tierra con el hocico.(sólo animales)
Laqhu,Alga de lago
Laqsuña,Lamer
Laquiña,Apartar
Laquita,Reñirse
Larama,Azul
Laramt'ata,Azulado
Lari,"Tío, primo hermano de la madre. Familiares de la novia que acompañan en la boda"
Larilari,Duende espíritu travieso. Alacrán. Tribu sin cacique. Ave de mal agüero
Laris,Parientes
Larpha,"Enfermedad infantil, raquitismo"
Larqa,Acequia
Laru,Risa
Laruña,"Reír, Carcajada"
Laruniña,Ir a reír
Larurana,Reír uno por uno
Laruri,Persona que ríe
Larusiri,"Risueño, sonriente"
Laruyaña,Hacer reír
Laruyiri,"Gracioso, divertido. Persona que hace reír."
Lat'aña,"Cabalgar, montar. Hacer el acto sexual"
Lat'aqaña,Desmontar del caballo o bicicleta
Lat'xataña,Cabalgar montar a caballo
Lata,Plato grande. Fuente de arcilla
Lattjataña,Cabalgar
Lawa,"Palo, leño"
Lawch'a,Empanada de queso
Laykga,Brujo
Laytha,Débil
Lejwi,Cerebro
Liaphi,"Tibio, templado, ni caliente ni frío"
Liattunca,"9, Nueve"
Lijgwi,Seso
Lijui,Sesos
Lik'i,Persona o animal gordo
Lik'ichaña,Quitar grasa
Lik'intaña,"Engordar, Ponerse gordo"
Liki,"Cebo, grasa injundia, manteca. Gordo."
Likichaña,Ensebar
Likiptaña,Engordar
Linittaña,Apretar
Linuniña,Presionar la mano con los dedos
Lip'iña,"Ocultarse, esconderse"
Lip'iyaña,Pegar o colar algo en algún lugar
Lipkataña,Estar con alguien por interés
Lipkatiri,Pegajoso
Lippichi,"Cuero, pellejo, piel."
Liq'iña,"Objeto para golpear, Martillo. Golpear algo."
Liq'uña,Mirar con odio
Liqiliqi,Ave del altiplano
Lirpu,Espejo
Lirq'u,Bizco
Lisu,"Pícaro, bandido"
Lisusiña,Picardear
Liusttaña,Resbalar
Liwaraña,Dar comida a los animales. Servir comida
Liwiliwi,Alguien que no puede afirmarse al caminar
Liwimuchuña,"Lanzar, arrojar, alguna cosa"
Liwintaña,Botar algo hacia abajo
Liwiqaña,Derribar una cosa o persona de una altura
Liwisiña,"Caer, perder el equilibrio, Desmayarse"
Liwnuqaña,Hacer caer algo o a alguien
Liwsuña,Botar hacia arriba. Servir en exceso
Llachu,"Alga, plana acuática que se emplea como alimento del ganado"
Llaja,"Claro de telas, tela tejida flojamente"
Llaja sawuña,Tejer ralo en el telar
Llajachaña,"Ralear, hacer rala de tela"
Llajlla,De poco ánimo. Tímido
Llajllaptayaña,"Amedrentar, infundir miedo, Atemorizar"
Llajlliri,Carpintero
Llajma,Agua desparramada
Llajmayaña,Derramar el agua
Llakhi,"Pena, Aflicción, pesar sentimiento, amargura, disgusto, angustia, congoja, calamidad"
Llakichaña,"Afligir, causar pena"
Llakimaya,"Muy triste, apenado"
Llakin jakaña,"Preocupado, Afligido, apenado"
Llakiña,"Penar, lanzar suspiros, Sufrir, penar"
Llakinaka,Penas
Llakini,"Desconsolado, triste y melancólico"
Llakipayaña,"Apiadarse, compadecerse, condolecer"
Llakipayiri,"Compasivo, que siente compasión"
Llakisiña,"Afligirse, angustiarse"
Llakisiyiri,El que causa aflicción
Llakita,"Persona que tiene pena, Triste, afligido, apenado"
Llakitäña,"Estar preocupado, sufrido"
Llamasa,Al menos
Llamayjasiri,Persona que ayuda en la cosecha para que se le pague en producto (papa)
Llamayu,Cosecha de productos de bajo la tierra
Llamayuña,"Escarbar, escavar."
Llamayxasiña,Proveerse de papas ayudando a la gente
Llami,"Conjuntivitis, enfermedad de los ojos"
Llamiña,"Sacar pulgas de las prendas con las uñas, desvestir"
Llamp'u,"Corazón suave, apacible"
Llamp'uchaña,"Ablandar lo duro, Acallar, aplacar, amansar, apaciguar"
Llamp'uchasiña,"Ablandarse, suavizarse"
Llamp'uchiri,"Persona que pulveriza, amansador, que amansa"
Llamp'uchuyma,Que tiene paciencia
Llamp'uchuymani,Persona que tiene paciencia
Llamp'xaña,"Pulverizar, reducir a polvo"
Llamphichaña,"Entibiar, poner tibio, moderar la temperatura"
Llampu,Blando
Llampu chuima,Humilde
Llamqhaña,"Hurgar, manosear, palpar"
Llamqhasiña,Hurgarse
Llamqht'aña,Tocar sorpresivamente o sin pensar
Llapa,Pasto muy suave
Llapamukuña,"Destapar, quitar la ropa"
Llaphi,Tibio
Llaphi chuyma,"Humilde, de corazón humilde"
Llaphi uma,Agua tibia
Llaqa,"Plumas de las aves. Hojas tiernas de cebada, Brote de hierbas o plantas"
Llaqui,Pena
Llaquisiña,Penar
Llaquiyaña,Acongojar
Llatunka tunkani,"90, Noventa"
Llauchiña,Rasguñar
Llausa,Flema
Llawch'ikiyaña,Embarrar todo. Llevar barro o cosa semejante de un lado a otro
Llawch'iña,"Llevar barro, o hacer con barro"
Llawch'iniña,Ir a embarrarse
Llawch'intaña,Meter barro o algo semejante
Llawch'iqaña,Quitar barro de la pared
Llawch'iraña,Limpiar el barro fresco que estaba sobre algo
Llawch'irpayaña,Botar el barro o grasa que tenia en la mano
Llawch'itataña,Extender en el asiento como el barro
Llawch'kataña,Pegar barro a la pared
Llawch'suña,Sacar con las manos barro o cosa semejante
Llawch'taña,Alzar con las manos barro o cosa semejante
Llawijt'aña,Asegurar con algo el cruce del yugo y el arado
Llawili,"Inactivo, que no se mueve. Sin actividad"
Llawimukuña,Dejar abierto. Cerrar con la puerta
Llawiña,"Cerrar la puerta con llave. Segar cebada, avena, etc."
Llawintaña,Cerrar con llave uno mismo. s. Recluso
Llawiraña,"Abrir con llave, Abrir de par en par"
Llawirja,Correa de cuero
Llawkataña,"Cerrar la puerta, Tapar a alguien con alguna prenda"
Llawkatt'aña,Entrecerrar
Llawq'aña,"Masajear, remover, manosear, tocar una cosa repetidamente con las manos"
Llawq'asiña,"Hurgarse, manosear"
Llawq'suña,Sacar algo con los dedos. Sacar los ojos
Llawsa,Saliva. Criatura recién nacida
Llawsa ch'uru,Babosa
Llawsaña,"Babear, echar baba"
Llawsarara,Lleno de saliva
Llawt'ata,Cerrado con llave
Llawtaña,"Recoger ropa que no esté extendida, Coger cebada repentinamente"
Llawthapiña,"Arrollar, envolver en forma de rollo. Cerrar todo con llave, Abrigar"
Llawthapisiña,Cubrirse bien con la ropa
Llawthayiña,Cegar cebada rápido
Llawukipaña,Tapar con manta en volviendo
Llawumukuña,Desenvolver rápidamente una cosa
Llawuña,"Arrollar, envolver en forma de rollo. Embalar, empacar"
Llawuraña,Abrir desenvolviendo
Llawurayaña,"Hacer desempaquetar, desenrollar o desenvolver"
Llawxasiña,Tenerlo encerrado
Llawxatasiña,Envolverse por encima
Llaxamayaña,Expandir el agua
Llaxi,"Almacenar, sementera para trasplantar"
Llaxiña,Almacigar
Llaxma,Se dice del río o del lago de aguas poco profundas. s. Agua expandida
Llaych'chhuña,Sacar de la rueca lo hilado
Llaych'thapiña,"Enmarañar, enredar"
Llaychhu,Porción de hebras envueltas en los dedos y sacados
Llaytha,"Acobardado, Cobarde"
Llica,Rebaño
Llijtayaña,Hacer brillar con espejo
Lliju,Algo resplandeciente. Relámpago.
Lliju lliju,Relámpago
Llilli,"Llaga, úlcera que cierra con facilidad"
Llilliña,"Hacer llagas, ulcerar"
Llimq'suña,Tocar metiendo y sacando la mano
Llint'a,Labios muy abultados
Llint'aqiña,Estar de mal humor
Llint'kataña,Arremangar
Llint'katasiña,Arremangarse las mangas o los pantalones
Llint'suña,"Revolver, registrar buscando"
Llint'suta,"Revolcado, revuelto, dado vuelta"
Llipha,Mal o poco ajustado
Lliphi,"lliphi s. Fulgor, brillo, centelleo"
Lliphiña,Pelar aves o conejos con agua hirviendo
Lliphipi,Resplandecer
Lliphipiña,Alumbrar de las estrellas
Lliphipiri,"Brillante, que brilla. Acción de centellear."
Lliphipkiri,Centelleante
Lliphir qala,"Piedra brillosa, que brilla"
Lliphiyaña,"Lustrar, dar lustre, hacer brillar. Hacer alumbrar"
Lliphu,Vellosidad de ]os niños y de las hojas de las p]antas
Llipu,Patilla
Llithirasiña,Rasmillarse
Llixi,Escama de los peces. Flema sobre las piedras del río
Llixiraña,Quitar las escamas
Llixirara,Flemoso
Llixt'iri,Algo que brilla o resplandece
Llixti,"Eccema, enfermedad eruptiva de la piel. llaga, úlcera"
Llixuri,"Centelleo, acción de centellear. s. Espejo"
Llojeta,Derrumbado
Lluch'íña,"Embarrar, enlucir. cubrir algo con barro"
Lluch'intaña,"Empotrar, cerrar con barro, tapar con barro o cera"
Lluch'iri,Persona que embarra
Lluch'suña,"Desnudar, despojar. Desollar, quitar el pellejo, despellejar"
Lluch'u,"Gorro, prenda de abrigo para la cabeza"
Lluch'untasiña,Ponerse un gorro. Ponerse una prenda muy pegada al cuerpo
Lluch'uraña,"Desplumar, quitar las plumas"
Lluchht'asiña,Alzarse de faldas
Lluchhu,Suelto
Lluchhumukuña,Despojarse de una prenda de vestir
Lluchhuraña,"Quitar el cuero, despellejar, Desplumar, quitar las plumas a un ave"
Lluchhuri,El despojador o pelador
Lluchintata,"Embarrado, cerrado con barro"
Llucht'aña,"Resbalar, caer. Alzarlas faldas, arremangar"
Lluchu,Gorro
Llujt'a,Ceniza de la caña de quinua que amasadas se usa para acompañar a la coca
Llujta,Lejía
Llullachaña,Mimar al hijo
Llullu,"Papa sin madurar. Tierno, no maduro"
Llumiña,"Desbordar, salir de los bordes, rebasar el agua"
Llump'i,Vestido amplio. Vestido largo que se arrastra
Llump'iña,Arrastrar el vestido
Llump'iri,Brotar
Llump'iyaña,Hacer brotar
Llumpaqa,"Limpio, sin mezcla de cosas extrañas"
Llumppa,"Doncella, virgen."
Llunchi,Muy lleno
Llunk'u,"Persona que hace cualquier cosa para congraciarse con el jefe, zalamero, chismoso"
Llunk'usiña,"Adular, lisonjear. Subir, trepar paredes"
Llupaña,"Cubierta, tapa hermética"
Llupantaña,"Cerrar, taponear, embutir, llenar, meter"
Llupaqaña,Obstruir la guarida o cueva de un animal. Cortar el agua del regadío
Lluparaña,"Abrir quitando una tapa ajustada, destaponar"
Lluparasiña,"Destaparse, quitarse el tapón o tapador"
Lluparata,"Abierto, quitando el tapador"
Llupiri,Persona que tapa
Llupjasiña,"Taparse, ahogarse, obstaculizarse la respiración"
Llupt'aña,"Atascar, obstruir, cegar, tapar"
Llupthapiña,Recoger y tapar algo
Llupxasiña,Mantener tapando algo. Callar algo
Lluq'i,"Izquierda, Izquierdo"
Lluq'ixa,A la izquierda
Lluqi,"Lugar desconocido por el viajero. Soborno, coima. s. Planta medicinal andina"
Lluqu,"Corazón físico, víscera muscular"
Llusiña,Untar con grasa
Llusirpayaña,"Embadurnar, untar rápidamente"
Llusk'a,"Liso, igual sin aspereza"
Llusk'a qala,Piedra lisa
Llusk'achaña,"Alisar, pulir, afinar, Alijar, pulir con lija"
Llusk'achiri,"Pulidor, el que pule"
Llusk'kataña,Acercarse a alguien arrastrándose
Llusk'umukuña,Resbalar desviándose del destino
Llusk'uña,"Andar arrastrándose, resbalándose. Bruñir, sacar brillo. Sobar, acariciar"
Llusk'uniña,Llegar arrastrándose
Llusk'untaña,Entrar al arrastre
Llusk'uraña,"Arreglar el pelo por encima, "
Llust'a,"Deslizadero, lugar resbaladizo"
Llust'aña,"Resbalar, patinar"
Llust'antaña,Caer hacia lo profundo
Llust'araña,Aplastar algo con los pies
Llust'iri,El que resbala
Llustasiña,Resbalarse
Llut'a,Motoso
Llut'achaña,Amohosar
Llut'araña,Abrir lo que estaba cerrado a piedra o lodo
Lluthiraña,Rasmillar
Lluxi,Derrumbe
Lluxinukuña,"Derrumbar, derribar montones de piedras"
Lluxllakipaña,"Enlodar, inundar la tierra"
Lluxllaña,Espacio territorio destinado para la lluxlla
Lluxllantaña,Extenderse la inundación de lodo
Lluxllu,Queso cuajado como gelatina
Lluxt'achaña,"Elaborar, llujt'a para acompañamiento con la coca"
Lluxuyaña,Hacer brillar
Llätuk tunka,Noventa
Llätunk pataka,Novecientos
Llätunka,Nueve
Llätunkiri,Ordinal noveno
Lokgie,Demente
Lrutaka,Julio
Luk'ana,Dedo pulgar
Luk'i,Variedad de patatas
Lukhiptaña,Enloquecer
Lukkana,Dedo
Lukktaña,"Alcanzar. Dar alcance, Encontrar a alguien"
Lukktasiña,Alcanzarse
Luktiri,El que se encarga de dar ofrendas. Sabio
Luli,"Picaflor, Colibrí"
Lullu ch'uqi,Papa tierna aún no madura
Lulu,Nuera. Palabra afectiva
Luna huana,Cárcel
Lunthata,"Ladrón, ratero."
Lunthataña,Robar
Lunthatasiri,El que roba
Lup'iña,Pensar
Lupi,Calor de sol
Lupïni,Biblioteca
Lupirasiña,Asolearse
Lupt'ayasiña,Hacerse asolear
Luqa,Medida en brazo
Luqaña,Extender la mano para torear. Manosear
Luqasiña,Hurtar
Luqhi,Loco. Chiflado
Luqhiptaña,"Enloquecer, volverse loco"
Luqta,Ofrenda a los dioses andinos
Luqtayaña,Hacer dar ofrenda
Luram,"Haga, haz"
Luraña,Hacer
Lurarapiña,Hacer algo para alguien
Lurawi,Lugar de trabajo
Luriri,Persona que hace. Autor.
Luxu,Frío helado
Luxuntayaña,Congelarse
Luxuta,Papa helada
Ma,Uno
Mach'a,Tiempo estéril donde no produce nada
Mach'ta,"Magulladura, contusión"
Machacmara,Año nuevo
Machakka,Nuevo
Machantaña,o Macharaña. Embriagarse
Machaqa,Nuevo
Machaqata,Otra vez
Macharayaña,Hacer embriagar por completo
Machata,Borracho
Maimuru,Riñones
Maini,Único
Maitasiña,Prestarse
Maittaña,Prestar
Majaña,Exigir con exageración
Makgiki,Prisa
Makhataña,Subir. Subir sobre algo.
Makhatiri usu,"Pestilericia, Enfermedad contagiosa"
Makhurkha,Dolor muscular
Makuti,Una vez
Malcuña,Reinar
Malliña,"Degustar, probar comida, Comer con delicadeza"
Mallki,Planta para trasplantar
Mallku,"Viruela, Jefe, Cacique, Rey."
Mallq'a,Garganta
Mallq'a usu,Laringitis
Mama,"Señora, madre"
Mamakuta,Mar
Mamani,"Halcón, Gavilán."
Mamaquta,Mar
Maña,Astucia
Mañasu,Carnicero
Mancaña muntati?,¿Quieres comer?
Manjhasiña,Endeudarse
Manka,Comida
Mankaña,Comer
Mankayaña,Alimentar
Mankhanki,Debajo
Mankjga,Dentro
Mankka,Alimento
Mankkipacha,Infierno
Manq'a,"Comida, víveres"
Manq'aña,Comer
Manq'arapiña,Comer por complacer a alguien
Manq'awi,Comedor
Manq'ayaña,"Hacer comer, Hacer comer a otras personas"
Manq'suña,Comer todo
Manq'waña,Comer antes de irse
Manqhankaña,Estar dentro o abajo
Manqhata,De adentro
Manqhi,"Dentro, Profundo"
Mansaña,Domar
Mantaña,"Entrar, ingresar, caber. Entrada."
Mantayaña,Meter. Hacer entrar
Manttasina,Fiarse
Manu,Deuda
Manu phuqhaña,Pagar una deuda
Manu-phukaña,Pagar
Manuni,Deudor. Que tiene deuda
Manüña,Tener una deuda pendiente con alguien
Map'a,Cera de abeja
Maqui puriti marcaru hanihua jayaquiti,"Vas a llegar al pueblo, no está lejos"
Mara,Año
Mara ch'axtani,Año y medio
Marasa,Edad
Marca,"Aldea, pueblo."
Marcanquiri,Aldeano
Mari,"Matriz, útero"
Marka,"Pueblo, ciudad"
Marka masi,"Coterráneo, paisano"
Marka qhulliwi,Marzo
Markani,Morador del pueblo
Marku,"Artemisa, hierba"
Marmi,Mujer
Marqa,Manojo
Masanu,Cuñado
Masawa,Los otros días
Masaya,Una parcela de tierra
Masayppu,Anoche
Masi,"Compañero, Amigo"
Masuru,Ayer
Matara,Totora
Matti,Aprieto
Maxaña,Pescar peces con palo de púas
Maya,Uno. Una sola.
Mayiña,Pedir
Mayisiña,Pedirse
Mayjasiri,Mendigo
Maymikta,Único
Maymuru,Riñón
Mich'a,Mezquino
Mich'intaña,Aguijón
Micha,"Mezquino, avaro. Avaricia."
Michi,Flecha
Michmiña,Retorcer la soga
Mika,Plato de madera
Mikkita,Usado
Milasiña,Asco
Millaña,Horrible
Millasiña,Asqueroso
Milli,Papa temprana
Millmi,"Amaranto, Fruta"
Mink'aña,Contratar trabajadores
Mirayiri,Procreador
Mirayña,"Aumentar, multiplicar los animales"
Mirmiña,Quitar
Miski,Miel
Mismiña,Torcer
Misti,Hombre de raza blanca. Cholo.
Mistti,Mestizo
Mistuña,"Salir, subir"
Mita jaqi,De la misma generación
Mithaña,Jalar
Miu,Garbanzo
Mojgsa,Delicioso
Muchaña,Desgranar
Mujgsapatayaña,Endulzar
Mujlli,Codo
Muk'uña,Salivar harinas para hacer chicha
Mukhiña,Oler
Mukirara,Humedad
Mukku,Nudo
Mulla,"Bilis, hiel. Terror, miedo"
Mullu,Coral
Munaña,"Amar, querer."
Munapayaña,"Desear, enamorar."
Muñaraña,Acariciar
Munasiña,"Amarse, quererse."
Munasiri,"Amoroso, cariñoso."
Munata,"Amado, querido."
Munistati?,¿Me quieres?
Muntati?,¿Quieres?
Muntijaqi,Salvaje
Muqiña,"Golpear con la cabeza, topar"
Muqu,"Articulación, codo. Nudo. Adj. Enano"
Muqu muqu,Nudoso
Muru,Cortado
Muruqu,"Redondo, Cero"
Mururaña,Rasurar
Muspaña,Contemplar con sorpresa
Musphaña,"Delirar, maravilla."
Musphayata,Turbado
Musq'u,Papa deshidratada en agua sin almidón
Musuña,Olfatear (animales)
Mut'i,Maíz o habas cocidas
Mut'iña,Cocer granos alimenticios
Muthu,No agudo
Muttusiña,Sufrir
Muttuyaña,Castigar
Mutuña,"Sufrir, padecer"
Mutuyaña,Atormentar a alguien
Muxch'iña,Expulsar harina salivada
Muxsa,Dulce
Muxsanchaña,Endulzar la comida
Muxsapuraka,Glotón
Muyaru,Huerta
Muysuyaña,Desenroscar
Muyt'a,Esquina o curva
Muytaña,Dar vueltas
Muythapiña,Reunir en un lugar
Muyu,"Redondo, Circular"
Muyuña,"Girar, Dar vueltas"
Muyuntaña,Cercar
Muyupayaña,Rodear para no encontrarse
Muyuri,"Rotatorio, que gira"
Mäki,"Aprisa, de una vez"
Mämukutaña,Desnudarse
Mänchaña,Acercar a uno objetos o cosas
Nactayaña,Encender
Nactayata,Encendido
Naira,"Antes, primera. Ojos, vista."
Nairakkata,Adelante
Nakhaki,Finos
Nakhaña,Arder
Nakhantayaña,Hacer quemar
Nakhayaña,Quemar
Nakhi,Arder
Nakhiri,Candela encendida
Naktayaña,Encender
Nalra,Ojo
Nampi,Conmigo
Nanaka,Nosotros
Nankiri,Mi esposo
Nanqha uru,Viernes
Nasa,Nariz
Nasa tunqu,Pájaro frailesco
Natunaña,Amasar
Naya,Yo
Nayampi casarasini muntati?,¿Quieres casarte conmigo?
Nayra chiphu,Ceja
Nayra chipjta,Abrir y cerrar los ojos
Nayra lip'ichi,Párpado
Nayra phichu,Pestaña
Nayra qata,"Anterior, Antes"
Nayra. Ojo.,Antes
Nayrachasiña,Adelantarse
Nayrajana,En mi presencia
Nayraña,Ir delante o en primer lugar
Nayrapacha,Antiguamente
Nayraxa,"Sin tiempo, antes de tiempo"
Nayriri,Primero o primeramente
Ni-cunapacha,Nunca
Ñikki,Barro
Nina,"Fuego, lumbre. Avispa."
Nina wayuña,Llevar colgando como linterna
Ninaphuti,"Fiebre, Calentura"
Ñinqui,Arcilla
Niq'ichsuña,Preparar mucho barro
Niya,Después
Niyachaña,"Asomar, llegar. Tener casi acabada la obra"
Niyaki,Casi
Niyaraki,Otra vez
Niyawäxaña,Casi
Nuaña,Pegar
Nuata,Pegado
Nukhusiña,Empujarse
"Nukkuña, Nuktaña",Empujar
